location,latitude,longitude,magnitude,depth,day,hour,minute,sec
HACIOMER-GOKSUN (KAHRAMANMARAS),38.0483,36.5993,3.2, 5.1 km,9,14,23,10
BEGRE-DOGANSEHIR (MALATYA),38.0482,37.698,3.3, 4.3 km,9,14,14,50
GUZELKOY-DOGANSEHIR (MALATYA),38.0262,38.0608,3.4,14.3 km,9,14,11,26
SOGUT-DOGANSEHIR (MALATYA),38.0708,37.7228,3.9, 5.0 km,9,14,3,51
NURHAK (KAHRAMANMARAS),38.0132,37.4175,3.4, 3.3 km,9,13,55,54
KIRISKAL-NURDAGI (GAZIANTEP),37.2683,36.8447,4.2, 6.8 km,9,13,42,23
NALTAS-SAIMBEYLI (ADANA),38.0765,36.1095,3.1, 5.0 km,9,13,39,9
KORUCAK-CELIKHAN (ADIYAMAN),38.0572,38.3807,3.9, 5.4 km,9,13,32,37
TEMURAGA-GOKSUN (KAHRAMANMARAS),38.0565,36.5647,3.5, 5.0 km,9,13,27,17
KAYNAR-(KAHRAMANMARAS),37.7888,36.5177,3.6, 5.0 km,9,13,25,28
PILAVTEPE-KARAKOCAN (ELAZIG),39.1308,40.1732,4.6, 6.3 km,9,13,19,5
NURHAK (KAHRAMANMARAS),37.9988,37.4383,3.6, 5.0 km,9,13,16,1
SEYDILI-PALU (ELAZIG),38.6923,39.8987,3.3, 7.2 km,9,13,1,18
KOZLUK-PUTURGE (MALATYA),38.1083,38.6242,4.4, 4.3 km,9,12,46,53
CAGLAYAN-GOKSUN (KAHRAMANMARAS),38.0392,36.4673,3.3, 6.5 km,9,12,43,23
SAHINKAYASI-(KAHRAMANMARAS),37.8553,36.678,3.2, 6.6 km,9,12,32,9
SAHINKAYASI-(KAHRAMANMARAS),37.853,36.7242,3.7, 5.0 km,9,12,29,49
POLAT-DOGANSEHIR (MALATYA),38.1618,37.854,3, 3.6 km,9,12,26,58
AVCILARSUYU-ARSUZ (HATAY),36.316,35.8972,3.4, 8.7 km,9,12,16,27
DONGEL-(KAHRAMANMARAS),37.8652,36.6253,3.3, 5.5 km,9,11,55,36
GUMUSDOVEN-ELBISTAN (KAHRAMANMARAS),38.0747,37.2885,3.4, 5.0 km,9,11,44,24
TAHTALIDEDELER-TURKOGLU (KAHRAMANMARAS),37.3842,36.9348,3, 5.0 km,9,11,22,40
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0395,36.4928,3.9, 5.0 km,9,10,57,5
GOVDELI-DOGANSEHIR (MALATYA),38.0293,37.5762,3.3,16.2 km,9,10,53,32
KIZILOZ-GOKSUN (KAHRAMANMARAS),38.0098,36.6688,4.2, 1.9 km,9,10,42,7
YAGMURLU-GOKSUN (KAHRAMANMARAS),38.0828,36.6128,3.4, 5.0 km,9,10,29,1
GULLUHUYUK-ISLAHIYE (GAZIANTEP),37.0165,36.6868,4.8,10.3 km,9,10,18,16
CAVUSLU-DOGANSEHIR (MALATYA),38.1695,37.8025,3.1, 5.0 km,9,10,14,11
HASANLOK-ISLAHIYE (GAZIANTEP),36.9108,36.53,3.2, 5.0 km,9,10,9,46
BASMEZRA-PUTURGE (MALATYA),38.1588,38.6298,3.9, 5.0 km,9,10,7,11
